time [nanoSec],	 voltage[mV] 
1328,	 -0.006759
1330,	 -0.007105
1332,	 -0.007279
1334,	 -0.007279
1336,	 -0.006759
1338,	 -0.007105
1340,	 -0.007279
1342,	 -0.007625
1344,	 -0.007625
1346,	 -0.007279
1348,	 -0.006412
1350,	 -0.007279
1352,	 -0.007625
1354,	 -0.007451
1356,	 -0.006759
1358,	 -0.006585
1360,	 -0.007451
1362,	 -0.007972
1364,	 -0.007625
1366,	 -0.007279
1368,	 -0.007279
1370,	 -0.007625
1372,	 -0.006932
1374,	 -0.007451
1376,	 -0.007451
1378,	 -0.007625
1380,	 -0.007279
1382,	 -0.007279
1384,	 -0.007451
1386,	 -0.007451
1388,	 -0.006932
1390,	 -0.006932
1392,	 -0.007625
1394,	 -0.007451
1396,	 -0.007105
1398,	 -0.007279
1400,	 -0.007625
1402,	 -0.007451
1404,	 -0.006759
1406,	 -0.007279
1408,	 -0.007625
1410,	 -0.007279
1412,	 -0.006932
1414,	 -0.007105
1416,	 -0.007279
1418,	 -0.007451
1420,	 -0.007105
1422,	 -0.007279
1424,	 -0.007451
1426,	 -0.007972
1428,	 -0.007279
1430,	 -0.007279
1432,	 -0.007625
1434,	 -0.007105
1436,	 -0.007279
1438,	 -0.007625
1440,	 -0.007105
1442,	 -0.007451
1444,	 -0.006759
1446,	 -0.007105
1448,	 -0.007451
1450,	 -0.007625
1452,	 -0.007105
1454,	 -0.006932
1456,	 -0.007625
1458,	 -0.008145
1460,	 -0.007279
1462,	 -0.007625
1464,	 -0.007105
1466,	 -0.007798
1468,	 -0.007105
1470,	 -0.007451
1472,	 -0.007279
1474,	 -0.007625
1476,	 -0.007279
1478,	 -0.007625
1480,	 -0.007972
1482,	 -0.007625
1484,	 -0.006932
1486,	 -0.007625
1488,	 -0.007798
1490,	 -0.007625
1492,	 -0.007279
1494,	 -0.007625
1496,	 -0.007451
1498,	 -0.007105
1500,	 -0.007105
1502,	 -0.007625
1504,	 -0.007451
1506,	 -0.007105
1508,	 -0.006932
1510,	 -0.007625
1512,	 -0.007798
1514,	 -0.007798
1516,	 -0.007105
1518,	 -0.007105
1520,	 -0.007279
1522,	 -0.007625
1524,	 -0.007279
1526,	 -0.006932
1528,	 -0.007105
1530,	 -0.007279
1532,	 -0.007105
1534,	 -0.007105
1536,	 -0.007279
1538,	 -0.007105
1540,	 -0.006932
1542,	 -0.007279
1544,	 -0.007279
1546,	 -0.007451
1548,	 -0.007105
1550,	 -0.007279
1552,	 -0.007451
1554,	 -0.007451
1556,	 -0.007105
1558,	 -0.007279
1560,	 -0.007625
1562,	 -0.007451
1564,	 -0.007279
1566,	 -0.007625
1568,	 -0.007105
1570,	 -0.007451
1572,	 -0.007625
1574,	 -0.007279
1576,	 -0.007105
1578,	 -0.007625
1580,	 -0.007279
1582,	 -0.007451
1584,	 -0.007279
1586,	 -0.007279
1588,	 -0.007105
1590,	 -0.007451
1592,	 -0.007451
1594,	 -0.007625
1596,	 -0.006932
1598,	 -0.007279
1600,	 -0.007105
1602,	 -0.007451
1604,	 -0.006932
1606,	 -0.007451
1608,	 -0.007625
1610,	 -0.007625
1612,	 -0.007279
1614,	 -0.007625
1616,	 -0.007625
1618,	 -0.008318
1620,	 -0.007279
1622,	 -0.007625
1624,	 -0.007625
1626,	 -0.007625
1628,	 -0.007279
1630,	 -0.007105
1632,	 -0.007451
1634,	 -0.007625
1636,	 -0.006759
1638,	 -0.007279
1640,	 -0.007625
1642,	 -0.007625
1644,	 -0.006932
1646,	 -0.007625
1648,	 -0.007105
1650,	 -0.007625
1652,	 -0.007279
1654,	 -0.007972
1656,	 -0.007279
1658,	 -0.007279
1660,	 -0.007451
1662,	 -0.007105
1664,	 -0.007279
1666,	 -0.007625
1668,	 -0.007279
1670,	 -0.007451
1672,	 -0.007105
1674,	 -0.007972
1676,	 -0.006759
1678,	 -0.006759
1680,	 -0.006932
1682,	 -0.007451
1684,	 -0.007279
1686,	 -0.007798
1688,	 -0.007279
1690,	 -0.008145
1692,	 -0.006932
1694,	 -0.007625
1696,	 -0.007279
1698,	 -0.007972
1700,	 -0.006759
1702,	 -0.007798
1704,	 -0.007625
1706,	 -0.007798
1708,	 -0.007279
1710,	 -0.006759
1712,	 -0.007279
1714,	 -0.007105
1716,	 -0.006759
1718,	 -0.007625
1720,	 -0.007625
1722,	 -0.007625
1724,	 -0.006932
1726,	 -0.007451
1728,	 -0.007105
1730,	 -0.007451
1732,	 -0.006932
1734,	 -0.007279
1736,	 -0.007105
1738,	 -0.007798
1740,	 -0.007625
1742,	 -0.007279
